source,topic,decay_rate,half_life_days,r2,n_obs,avg_tone,first_date,year,tone_category
fox,"CRISISLEX_C07_SAFETY,105",8.874329472242843e-36,7.810699193983876e+34,0.0,27,,2016-01-06 21:00:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,14",1.4567360804780023e-35,4.758220722675457e+34,0.0,26,,2016-02-15 15:00:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,150",3.148957966101473e-35,2.2011954050250066e+34,0.0,30,,2016-01-26 15:15:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,17",1.0315673125164599e-35,6.719359678711081e+34,0.0,51,,2016-01-14 11:45:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,18",1.6401996483916384e-35,4.225992739601168e+34,0.0,27,,2016-03-13 09:30:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,197",1.365825496446297e-35,5.074932210325737e+34,0.0,30,,2016-01-12 00:30:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,24",8.23929965240834e-36,8.412695372201192e+34,0.0,39,,2016-01-09 04:15:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,246",4.0639953851446796e-36,1.7055806290864404e+35,0.0,35,,2016-01-05 22:30:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,276",2.2099177441883445e-05,31365.29322789448,0.0781966313361463,15,,2016-04-27 07:15:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,29",7.633793591560974e-36,9.079983264496533e+34,0.0,38,,2016-03-12 12:30:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,31",2.1062258159951953e-35,3.2909442819284413e+34,0.0,28,,2016-02-29 18:00:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,32",8.036890068154771e-36,8.62456963678599e+34,0.0,26,,2016-01-04 10:15:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,33",1.5758072118284869e-35,4.398680088255545e+34,0.0,27,,2016-02-04 14:45:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,39",8.46006402967299e-36,8.19316707449007e+34,0.0,30,,2016-01-03 21:15:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,45",1.699226426684458e-35,4.0791925647744233e+34,0.0,27,,2016-01-20 19:45:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,51",2.7566941294249066e-35,2.514414541538374e+34,0.0,31,,2016-01-19 09:15:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,6",7.461149301431359e-36,9.290085917821947e+34,0.0,84,,2016-04-28 19:15:00,2016,unknown
fox,"CRISISLEX_C07_SAFETY,72",2.4010604986681885e-35,2.8868376325561876e+34,0.0,28,,2016-01-22 16:45:00,2016,unknown
fox,"CRISISLEX_CRISISLEXREC,110",5.755430880986093e-35,1.2043358610210371e+34,0.0,31,,2016-01-04 18:15:00,2016,unknown
fox,"CRISISLEX_CRISISLEXREC,116",9.646168572478717e-36,7.185725351488768e+34,0.0,28,,2016-01-17 13:00:00,2016,unknown
fox,"CRISISLEX_CRISISLEXREC,119",2.896456719353949e-35,2.3930866148573103e+34,0.0,29,,2016-01-01 02:45:00,2016,unknown
fox,"CRISISLEX_CRISISLEXREC,121",6.068324580091416e-36,1.1422381440076223e+35,0.0,38,,2016-03-17 14:15:00,2016,unknown
fox,"CRISISLEX_CRISISLEXREC,140",2.421532561800757e-35,2.8624317983339067e+34,0.0,27,,2016-01-15 19:30:00,2016,unknown
fox,"CRISISLEX_CRISISLEXREC,144",4.486877857711521e-36,1.5448318464222175e+35,0.0,25,,2016-02-10 05:45:00,2016,unknown
fox,"CRISISLEX_CRISISLEXREC,154",1.406278030508934e-35,4.928948369541792e+34,0.0,26,,2016-06-01 11:45:00,2016,unknown
fox,"CRISISLEX_CRISISLEXREC,155",1.6527673071191968e-35,4.1938582495809e+34,0.0,28,,2016-01-04 17:30:00,2016,unknown
fox,"CRISISLEX_CRISISLEXREC,176",1.5729378777628034e-35,4.406704106749668e+34,0.0,28,,2016-01-22 01:00:00,2016,unknown
fox,"CRISISLEX_CRISISLEXREC,185",2.3290005867320846e-05,29761.571744922927,0.08846153206226681,17,,2016-03-07 18:15:00,2016,unknown
